"Notes"	"Year"	"Year Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Cause of death"	"Cause of death Code"	"Census Region"	"Census Region Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	% of Total Deaths
	"2009"	"2009"	"Black or African American"	"2054-5"	"Female"	"F"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Census Region 1: Northeast"	"CENS-R1"	64	3908465	1.64	1.26	2.09	1.84	0.01%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Female"	"F"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Census Region 2: Midwest"	"CENS-R2"	76	3861033	1.97	1.55	2.46	2.46	0.01%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Female"	"F"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Census Region 3: South"	"CENS-R3"	133	11954538	1.11	0.92	1.30	1.40	0.01%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Female"	"F"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Census Region 4: West"	"CENS-R4"	29	2020480	1.44	0.96	2.06	1.91	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Female"	"F"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Census Region 1: Northeast"	"CENS-R1"	22	3908465	0.56	0.35	0.85	0.57	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Female"	"F"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Census Region 2: Midwest"	"CENS-R2"	25	3861033	0.65	0.42	0.96	0.67	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Female"	"F"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Census Region 3: South"	"CENS-R3"	48	11954538	0.40	0.30	0.53	0.43	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Female"	"F"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Census Region 1: Northeast"	"CENS-R1"	13	3908465	Unreliable	0.18	0.57	Unreliable	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Female"	"F"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Census Region 2: Midwest"	"CENS-R2"	14	3861033	Unreliable	0.20	0.61	Unreliable	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Female"	"F"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Census Region 3: South"	"CENS-R3"	48	11954538	0.40	0.30	0.53	0.48	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Female"	"F"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"Census Region 3: South"	"CENS-R3"	11	11954538	Unreliable	0.05	0.16	Unreliable	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Female"	"F"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Census Region 3: South"	"CENS-R3"	30	11954538	0.25	0.17	0.36	0.32	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Female"	"F"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Census Region 3: South"	"CENS-R3"	13	11954538	Unreliable	0.06	0.19	Unreliable	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Female"	"F"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Census Region 1: Northeast"	"CENS-R1"	16	3908465	Unreliable	0.23	0.66	Unreliable	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Female"	"F"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Census Region 2: Midwest"	"CENS-R2"	15	3861033	Unreliable	0.22	0.64	Unreliable	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Female"	"F"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Census Region 3: South"	"CENS-R3"	58	11954538	0.49	0.37	0.63	0.57	0.01%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Female"	"F"	"Septicaemia, unspecified"	"A41.9"	"Census Region 1: Northeast"	"CENS-R1"	534	3908465	13.66	12.50	14.82	15.43	0.05%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Female"	"F"	"Septicaemia, unspecified"	"A41.9"	"Census Region 2: Midwest"	"CENS-R2"	602	3861033	15.59	14.35	16.84	18.85	0.06%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Female"	"F"	"Septicaemia, unspecified"	"A41.9"	"Census Region 3: South"	"CENS-R3"	1983	11954538	16.59	15.86	17.32	20.12	0.19%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Female"	"F"	"Septicaemia, unspecified"	"A41.9"	"Census Region 4: West"	"CENS-R4"	93	2020480	4.60	3.72	5.64	5.97	0.01%
