"Notes"	"Year"	"Year Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Cause of death"	"Cause of death Code"	"Census Region"	"Census Region Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	% of Total Deaths
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Census Region 1: Northeast"	"CENS-R1"	33	3477179	0.95	0.65	1.33	1.73	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Census Region 2: Midwest"	"CENS-R2"	43	3553025	1.21	0.88	1.63	2.24	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Census Region 3: South"	"CENS-R3"	89	10799607	0.82	0.66	1.01	1.65	0.01%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Census Region 4: West"	"CENS-R4"	29	2058123	1.41	0.94	2.02	2.61	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Census Region 2: Midwest"	"CENS-R2"	17	3553025	Unreliable	0.28	0.77	Unreliable	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Census Region 3: South"	"CENS-R3"	63	10799607	0.58	0.45	0.75	0.60	0.01%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Census Region 4: West"	"CENS-R4"	15	2058123	Unreliable	0.41	1.20	Unreliable	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Census Region 3: South"	"CENS-R3"	36	10799607	0.33	0.23	0.46	0.54	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"Census Region 3: South"	"CENS-R3"	24	10799607	0.22	0.14	0.33	0.31	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"Census Region 3: South"	"CENS-R3"	20	10799607	0.19	0.11	0.29	0.27	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Census Region 3: South"	"CENS-R3"	23	10799607	0.21	0.14	0.32	0.37	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Census Region 3: South"	"CENS-R3"	20	10799607	0.19	0.11	0.29	0.31	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Census Region 1: Northeast"	"CENS-R1"	12	3477179	Unreliable	0.18	0.60	Unreliable	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Census Region 2: Midwest"	"CENS-R2"	17	3553025	Unreliable	0.28	0.77	Unreliable	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Census Region 3: South"	"CENS-R3"	39	10799607	0.36	0.26	0.49	0.59	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Septicaemia, unspecified"	"A41.9"	"Census Region 1: Northeast"	"CENS-R1"	410	3477179	11.79	10.65	12.93	19.84	0.04%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Septicaemia, unspecified"	"A41.9"	"Census Region 2: Midwest"	"CENS-R2"	489	3553025	13.76	12.54	14.98	23.12	0.05%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Septicaemia, unspecified"	"A41.9"	"Census Region 3: South"	"CENS-R3"	1577	10799607	14.60	13.88	15.32	24.49	0.15%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Septicaemia, unspecified"	"A41.9"	"Census Region 4: West"	"CENS-R4"	80	2058123	3.89	3.08	4.84	6.54	0.01%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Staphylococcal infection, unspecified"	"A49.0"	"Census Region 3: South"	"CENS-R3"	16	10799607	Unreliable	0.08	0.24	Unreliable	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Streptococcal infection, unspecified"	"A49.1"	"Census Region 3: South"	"CENS-R3"	11	10799607	Unreliable	0.05	0.18	Unreliable	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Bacterial infection, unspecified"	"A49.9"	"Census Region 3: South"	"CENS-R3"	26	10799607	0.24	0.16	0.35	0.40	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"Census Region 1: Northeast"	"CENS-R1"	10	3477179	Unreliable	0.14	0.53	Unreliable	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"Census Region 3: South"	"CENS-R3"	34	10799607	0.31	0.22	0.44	0.41	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Chronic viral hepatitis C"	"B18.2"	"Census Region 1: Northeast"	"CENS-R1"	130	3477179	3.74	3.10	4.38	4.20	0.01%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Chronic viral hepatitis C"	"B18.2"	"Census Region 2: Midwest"	"CENS-R2"	117	3553025	3.29	2.70	3.89	3.72	0.01%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Chronic viral hepatitis C"	"B18.2"	"Census Region 3: South"	"CENS-R3"	318	10799607	2.94	2.62	3.27	3.12	0.03%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"Chronic viral hepatitis C"	"B18.2"	"Census Region 4: West"	"CENS-R4"	84	2058123	4.08	3.26	5.05	4.94	0.01%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"HIV disease resulting in mycobacterial infection"	"B20.0"	"Census Region 3: South"	"CENS-R3"	19	10799607	Unreliable	0.11	0.27	Unreliable	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"HIV disease resulting in other bacterial infections"	"B20.1"	"Census Region 1: Northeast"	"CENS-R1"	66	3477179	1.90	1.47	2.41	2.07	0.01%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"HIV disease resulting in other bacterial infections"	"B20.1"	"Census Region 2: Midwest"	"CENS-R2"	28	3553025	0.79	0.52	1.14	0.92	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"HIV disease resulting in other bacterial infections"	"B20.1"	"Census Region 3: South"	"CENS-R3"	183	10799607	1.69	1.45	1.94	1.84	0.02%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"HIV disease resulting in other bacterial infections"	"B20.1"	"Census Region 4: West"	"CENS-R4"	13	2058123	Unreliable	0.34	1.08	Unreliable	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"HIV disease resulting in other viral infections"	"B20.3"	"Census Region 1: Northeast"	"CENS-R1"	43	3477179	1.24	0.89	1.67	1.29	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"HIV disease resulting in other viral infections"	"B20.3"	"Census Region 2: Midwest"	"CENS-R2"	11	3553025	Unreliable	0.15	0.55	Unreliable	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"HIV disease resulting in other viral infections"	"B20.3"	"Census Region 3: South"	"CENS-R3"	89	10799607	0.82	0.66	1.01	0.89	0.01%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"HIV disease resulting in other mycoses"	"B20.5"	"Census Region 3: South"	"CENS-R3"	48	10799607	0.44	0.33	0.59	0.45	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"Census Region 1: Northeast"	"CENS-R1"	11	3477179	Unreliable	0.16	0.57	Unreliable	0.00%
	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"Census Region 3: South"	"CENS-R3"	39	10799607	0.36	0.26	0.49	0.38	0.00%
