"Notes"	"Year"	"Year Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Cause of death"	"Cause of death Code"	"Census Region"	"Census Region Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	% of Total Deaths
	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Census Region 1: Northeast"	"CENS-R1"	27	2726417	0.99	0.65	1.44	1.74	0.01%
	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Census Region 2: Midwest"	"CENS-R2"	10	1969016	Unreliable	0.24	0.93	Unreliable	0.00%
	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Census Region 3: South"	"CENS-R3"	56	8036136	0.70	0.53	0.90	1.22	0.01%
	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Census Region 4: West"	"CENS-R4"	86	9074416	0.95	0.76	1.17	2.01	0.02%
	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Census Region 3: South"	"CENS-R3"	19	8036136	Unreliable	0.14	0.37	Unreliable	0.00%
	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Census Region 4: West"	"CENS-R4"	20	9074416	0.22	0.13	0.34	0.34	0.00%
	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Census Region 3: South"	"CENS-R3"	20	8036136	0.25	0.15	0.38	0.43	0.00%
	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Census Region 4: West"	"CENS-R4"	13	9074416	Unreliable	0.08	0.24	Unreliable	0.00%
	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Census Region 3: South"	"CENS-R3"	12	8036136	Unreliable	0.08	0.26	Unreliable	0.00%
	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Census Region 4: West"	"CENS-R4"	16	9074416	Unreliable	0.10	0.29	Unreliable	0.00%
