"Notes"	"Year"	"Year Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Cause of death"	"Cause of death Code"	"Census Region"	"Census Region Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	% of Total Deaths
	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Census Region 1: Northeast"	"CENS-R1"	994	19841186	5.01	4.70	5.32	2.80	0.02%
	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Census Region 2: Midwest"	"CENS-R2"	1030	26808650	3.84	3.61	4.08	2.44	0.03%
	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Census Region 3: South"	"CENS-R3"	1137	35461598	3.21	3.02	3.39	2.08	0.03%
	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Census Region 4: West"	"CENS-R4"	677	19588578	3.46	3.20	3.72	2.25	0.02%
	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	"Other specified bacterial intestinal infections"	"A04.8"	"Census Region 2: Midwest"	"CENS-R2"	10	26808650	Unreliable	0.02	0.07	Unreliable	0.00%
	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	"Other specified bacterial intestinal infections"	"A04.8"	"Census Region 4: West"	"CENS-R4"	10	19588578	Unreliable	0.02	0.09	Unreliable	0.00%
	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	"Viral intestinal infection, unspecified"	"A08.4"	"Census Region 1: Northeast"	"CENS-R1"	14	19841186	Unreliable	0.04	0.12	Unreliable	0.00%
	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	"Viral intestinal infection, unspecified"	"A08.4"	"Census Region 2: Midwest"	"CENS-R2"	28	26808650	0.10	0.07	0.15	0.06	0.00%
	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	"Viral intestinal infection, unspecified"	"A08.4"	"Census Region 3: South"	"CENS-R3"	19	35461598	Unreliable	0.03	0.08	Unreliable	0.00%
	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	"Viral intestinal infection, unspecified"	"A08.4"	"Census Region 4: West"	"CENS-R4"	15	19588578	Unreliable	0.04	0.13	Unreliable	0.00%
