"Notes"	"Year"	"Year Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Cause of death"	"Cause of death Code"	"Census Region"	"Census Region Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	% of Total Deaths
	"2009"	"2009"	"White"	"2106-3"	"Male"	"M"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Census Region 1: Northeast"	"CENS-R1"	670	18785555	3.57	3.30	3.84	3.16	0.02%
	"2009"	"2009"	"White"	"2106-3"	"Male"	"M"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Census Region 2: Midwest"	"CENS-R2"	608	25921335	2.35	2.16	2.53	2.34	0.02%
	"2009"	"2009"	"White"	"2106-3"	"Male"	"M"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Census Region 3: South"	"CENS-R3"	733	34152210	2.15	1.99	2.30	2.07	0.03%
	"2009"	"2009"	"White"	"2106-3"	"Male"	"M"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Census Region 4: West"	"CENS-R4"	445	19433967	2.29	2.08	2.50	2.15	0.02%
	"2009"	"2009"	"White"	"2106-3"	"Male"	"M"	"Other specified bacterial intestinal infections"	"A04.8"	"Census Region 3: South"	"CENS-R3"	10	34152210	Unreliable	0.01	0.05	Unreliable	0.00%
	"2009"	"2009"	"White"	"2106-3"	"Male"	"M"	"Viral intestinal infection, unspecified"	"A08.4"	"Census Region 1: Northeast"	"CENS-R1"	12	18785555	Unreliable	0.03	0.11	Unreliable	0.00%
	"2009"	"2009"	"White"	"2106-3"	"Male"	"M"	"Viral intestinal infection, unspecified"	"A08.4"	"Census Region 2: Midwest"	"CENS-R2"	12	25921335	Unreliable	0.02	0.08	Unreliable	0.00%
	"2009"	"2009"	"White"	"2106-3"	"Male"	"M"	"Viral intestinal infection, unspecified"	"A08.4"	"Census Region 4: West"	"CENS-R4"	13	19433967	Unreliable	0.04	0.11	Unreliable	0.00%
	"2009"	"2009"	"White"	"2106-3"	"Male"	"M"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Census Region 1: Northeast"	"CENS-R1"	76	18785555	0.40	0.32	0.51	0.37	0.00%
	"2009"	"2009"	"White"	"2106-3"	"Male"	"M"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Census Region 2: Midwest"	"CENS-R2"	70	25921335	0.27	0.21	0.34	0.27	0.00%
	"2009"	"2009"	"White"	"2106-3"	"Male"	"M"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Census Region 3: South"	"CENS-R3"	88	34152210	0.26	0.21	0.32	0.25	0.00%
	"2009"	"2009"	"White"	"2106-3"	"Male"	"M"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Census Region 4: West"	"CENS-R4"	68	19433967	0.35	0.27	0.44	0.32	0.00%
	"2009"	"2009"	"White"	"2106-3"	"Male"	"M"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Census Region 1: Northeast"	"CENS-R1"	73	18785555	0.39	0.30	0.49	0.33	0.00%
	"2009"	"2009"	"White"	"2106-3"	"Male"	"M"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Census Region 2: Midwest"	"CENS-R2"	127	25921335	0.49	0.40	0.58	0.50	0.00%
	"2009"	"2009"	"White"	"2106-3"	"Male"	"M"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Census Region 3: South"	"CENS-R3"	160	34152210	0.47	0.40	0.54	0.46	0.01%
	"2009"	"2009"	"White"	"2106-3"	"Male"	"M"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Census Region 4: West"	"CENS-R4"	84	19433967	0.43	0.34	0.54	0.38	0.00%
