CASEID,YEAR,STATE,DETOX,TREATMT,OWNERSHP,FEDOWN,HOSPITAL,LOCS,ASSESSMENT,TESTING,TRANSITION,ANCILLARY,SRVC75,SRVC71,SRVC85,SRVC87,SRVC86,OTP,OTPALL,OTPTYPE,DUI_DWI,ONLYDUI,SIGNLANG,LANG,LANG16,LANG1,LANG2,LANG3,LANG4,LANG5,LANG6,LANG7,LANG8,LANG9,LANG10,LANG11,LANG19,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SRVC76,SRVC83,SRVC84,SRVC33,SRVC63,SRVC62,SRVC61,SRVC31,SRVC32,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,FEESCALE,PAYASST,EARMARK,REVCHK3,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,T_CLI1,T_CLI2,T_CLIHI,H_AGE1,HIMETNUM,HIBUPNUM,HIMATNUM,HOSPBED,T_CLI3,T_CLI9,T_CLI10,T_CLIRC,R_AGE1,RCMETNUM,RCBUPNUM,RCMATNUM,RESBED,T_CLI7,T_CLIML,T_CLI8,T_CLI6,T_CLI5,T_CLIOP,O_AGE1,OPMETNUM,OPBUPNUM,OPMATNUM,B_PCT,A_PCT,D_PCT,LOC5,LICEN,ACCRED
1,2010,AK,0,1,5,,0,,6,0,2,12,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,1,3,3,2,1,1,,2,4,2,0,M,M
2,2010,AK,0,1,5,,1,1,6,0,2,12,0,0,0,0,0,0,,,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,3,3,3,1,1,,1,5,1,0,1,M
3,2010,AK,1,1,2,,0,,0,2,1,14,0,0,0,0,0,0,,,0,,0,1,1,M,M,M,M,1,M,M,M,M,M,M,M,M,M,M,M,M,M,0,0,1,1,1,0,0,0,1,0,0,,,1,1,1,1,0,,,,,,1,1,1,0,1,0,1,1,0,1,,,,,,,,,2,1,4,4,1,1,1,,5,,,,,,,,,,,1,5,1,0,1,1
4,2010,AK,0,1,2,,0,,4,2,2,9,0,0,1,0,0,1,1,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,1,0,,,0,,,,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,5,0,1,1
5,2010,AK,0,1,2,,0,,5,2,2,13,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,0,0,1,0,0,,,1,0,1,1,0,,,,,,1,1,1,0,1,1,0,0,1,1,,,,,,,,,,4,,3,1,1,1,,3,,,,,,,,,,,4,3,1,1,1,1
6,2010,AK,1,1,2,,0,,5,5,2,11,0,0,0,0,0,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,2,5,1,0,1,1
7,2010,AK,1,1,4,,1,1,2,2,2,10,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,,,,,,,,,1,1,1,2,1,1,1,,1,,,1,2,2,3,1,1,1,,5,1,1,0,1,1
8,2010,AK,0,1,2,,0,,4,1,2,7,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0,1,1,0,0,,,0,,,,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,,5,1,1,0,1,M
9,2010,AK,0,1,6,3,0,,5,6,1,11,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,2,5,1,0,M,M
10,2010,AK,0,1,1,,0,,2,2,2,5,0,0,0,0,0,0,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,1,,5,1,1,0,1,M
