Date Time, Water Level,TY, I, L 
2010-01-01 00:24,7.966,HH,0,0
2010-01-01 08:12,4.806,LL,0,0
2010-01-01 13:06,7.949,H ,0,0
2010-01-01 20:06,4.872,L ,0,0
2010-01-02 01:12,8.215,HH,0,0
2010-01-02 09:48,4.347,L ,0,0
2010-01-02 14:06,6.450,H ,0,0
2010-01-02 22:48,2.897,LL,0,0
2010-01-03 03:00,4.583,H ,0,0
2010-01-03 10:12,2.100,LL,0,0
2010-01-03 15:42,4.888,HH,0,0
2010-01-03 22:36,2.165,L ,0,0
2010-01-04 03:48,4.698,H ,0,0
2010-01-04 11:06,2.070,LL,0,0
2010-01-04 17:06,4.964,HH,0,0
2010-01-04 22:54,3.271,L ,0,0
2010-01-05 04:42,5.833,H ,0,0
2010-01-05 11:30,3.645,LL,0,0
2010-01-05 17:00,6.302,HH,0,0
2010-01-05 23:54,4.124,L ,0,0
2010-01-06 05:12,6.686,H ,0,0
2010-01-06 12:36,3.898,L ,0,0
2010-01-06 18:06,6.864,HH,0,0
2010-01-07 01:42,3.891,LL,0,0
2010-01-07 06:06,5.781,H ,0,0
2010-01-07 13:12,3.727,LL,0,0
2010-01-07 19:18,6.585,HH,0,0
2010-01-08 01:54,4.324,L ,0,0
2010-01-08 07:18,7.139,H ,0,0
2010-01-08 14:06,4.583,L ,0,0
2010-01-08 19:12,7.231,HH,0,0
2010-01-09 04:12,3.786,LL,0,0
2010-01-09 08:18,5.105,H ,0,0
2010-01-09 15:30,3.435,LL,0,0
2010-01-09 22:12,5.879,HH,0,0
2010-01-10 04:12,4.163,L ,0,0
2010-01-10 09:36,6.076,H ,0,0
2010-01-10 16:12,4.186,LL,0,0
2010-01-10 22:18,6.604,HH,0,0
2010-01-11 05:30,4.288,L ,0,0
2010-01-11 10:42,6.099,H ,0,0
2010-01-11 16:42,4.590,LL,0,0
2010-01-11 23:06,7.359,HH,0,0
2010-01-12 06:18,4.862,L ,0,0
2010-01-12 11:12,6.975,HH,0,0
2010-01-12 18:36,4.380,L ,0,0
2010-01-12 23:42,6.322,H ,0,0
2010-01-13 07:30,3.862,LL,0,0
2010-01-13 12:24,5.820,H ,0,0
2010-01-13 18:30,3.917,LL,0,0
2010-01-14 00:48,6.598,HH,0,0
2010-01-14 07:24,4.419,L ,0,0
2010-01-14 12:48,6.942,H ,0,0
2010-01-14 19:30,4.485,LL,0,0
2010-01-15 01:06,7.523,HH,0,0
2010-01-15 08:06,4.682,L ,0,0
2010-01-15 13:24,7.369,H ,0,0
2010-01-15 19:54,4.738,L ,0,0
2010-01-16 01:24,7.694,HH,0,0
2010-01-16 08:48,4.665,LL,0,0
2010-01-16 13:54,7.244,H ,0,0
2010-01-16 20:48,4.390,L ,0,0
2010-01-17 02:12,7.336,HH,0,0
2010-01-17 09:12,4.321,LL,0,0
